id,escolas_postos,bairro,endereco,lat,lon,quantidade,quantidade_original,nome,subprefeitura
638,ESCOLA MUNICIPAL AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA 331,-22.91545,-43.21109,293.0,293,PRACA DA BANDEIRA,GRANDE TIJUCA
126,ESCOLA MUNICIPAL DUQUE DE CAXIAS,GRAJAU,RUA MAL. JOFRE 74,-22.91854,-43.26509,399.0,399,GRAJAU,GRANDE TIJUCA
180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,BOULEVARUA 28 DE SETEMBRO 353,-22.91615,-43.24705,185.0,185,VILA ISABEL,GRANDE TIJUCA
163,ESCOLA MUNICIPAL LAUDIMIA TROTTA,TIJUCA,RUA ANTONIO BASILIO 370,-22.92684,-43.23789,576.0,576,TIJUCA,GRANDE TIJUCA
361,ESCOLA MUNICIPAL PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA 36,-22.92906,-43.23287,63.0,63,TIJUCA,GRANDE TIJUCA
280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,VILA ISABEL,RUA OITO DE DEZEMBRO 275,-22.90982,-43.23939,491.0,491,VILA ISABEL,GRANDE TIJUCA
060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,TIJUCA,RUA ALM. JOAO CANDIDO BRASIL 352,-22.91683,-43.23692,327.0,'NaN',TIJUCA,GRANDE TIJUCA
587,ESCOLA MUNICIPAL ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULARUA 296,-22.9937,-43.23558,336.0,336,VIDIGAL,ZONA SUL
653,ESCOLA MUNICIPAL LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRUA,-22.99742,-43.27218,159.0,159,SAO CONRADO,ZONA SUL
660,ESCOLA MUNICIPAL NOSSA SENHORA DA POMPEIA,TODOS OS SANTOS,RUA CIRNE MAIA 109,-22.89203,-43.27992,342.0,342,TODOS OS SANTOS,ZONA NORTE
382,ESCOLA MUNICIPAL SANTOS ANJOS,LEBLON,RUA HUMBERTO DE CAMPOS,-22.98156,-43.21703,262.0,262,LEBLON,ZONA SUL
217,ESCOLA MUNICIPAL ALAGOAS,PILARES,AVENIDA DOM HELDER CAMARUA 6742,-22.88134,-43.29409,440.0,440,PILARES,ZONA NORTE
378,ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,AGUA SANTA,RUA VIOLETA,-22.90627,-43.30792,365.0,365,AGUA SANTA,ZONA NORTE
429,ESCOLA MUNICIPAL FELIX PACHECO,PIEDADE,RUA ASSIS CARNEIRO 649,-22.89509,-43.31383,315.0,,PIEDADE,ZONA NORTE
